Protein IDs,Protein names,Gene names,Fasta headers,rim15KO_C_T00_R1,rim15KO_C_T00_R2,rim15KO_C_T00_R3,rim15KO_C_T06_R1,rim15KO_C_T06_R2,rim15KO_C_T06_R3,rim15KO_C_T16_R1,rim15KO_C_T16_R2,rim15KO_C_T16_R3,rim15KO_C_T30_R1,rim15KO_C_T30_R2,rim15KO_C_T30_R3,rim15KO_P_T00_R1,rim15KO_P_T00_R2,rim15KO_P_T00_R3,rim15KO_P_T06_R1,rim15KO_P_T06_R2,rim15KO_P_T06_R3,rim15KO_P_T16_R1,rim15KO_P_T16_R2,rim15KO_P_T16_R3,rim15KO_P_T30_R1,rim15KO_P_T30_R2,rim15KO_P_T30_R3,WT_C_T00_R1,WT_C_T00_R2,WT_C_T00_R3,WT_C_T06_R1,WT_C_T06_R2,WT_C_T06_R3,WT_C_T16_R1,WT_C_T16_R2,WT_C_T16_R3,WT_C_T30_R1,WT_C_T30_R2,WT_C_T30_R3,WT_P_T00_R1,WT_P_T00_R2,WT_P_T00_R3,WT_P_T06_R1,WT_P_T06_R2,WT_P_T06_R3,WT_P_T16_R1,WT_P_T16_R2,WT_P_T16_R3,WT_P_T30_R1,WT_P_T30_R2,WT_P_T30_R3,WT/rim15KO_C_T00_R1,WT/rim15KO_C_T00_R2,WT/rim15KO_C_T00_R3,WT/rim15KO_C_T06_R1,WT/rim15KO_C_T06_R2,WT/rim15KO_C_T06_R3,WT/rim15KO_C_T16_R1,WT/rim15KO_C_T16_R2,WT/rim15KO_C_T16_R3,WT/rim15KO_C_T30_R1,WT/rim15KO_C_T30_R2,WT/rim15KO_C_T30_R3,WT/rim15KO_P_T00_R1,WT/rim15KO_P_T00_R2,WT/rim15KO_P_T00_R3,WT/rim15KO_P_T06_R1,WT/rim15KO_P_T06_R2,WT/rim15KO_P_T06_R3,WT/rim15KO_P_T16_R1,WT/rim15KO_P_T16_R2,WT/rim15KO_P_T16_R3,WT/rim15KO_P_T30_R1,WT/rim15KO_P_T30_R2,WT/rim15KO_P_T30_R3
P49955,U2 snRNP component HSH155,HSH155,sp|P49955|SF3B1_YEAST U2 snRNP component HSH155 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HSH155 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P49954,Probable hydrolase NIT3,NIT3,sp|P49954|NIT3_YEAST Omega-amidase NIT3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NIT3 PE=1 SV=1,0.91613,0.97862,1.0117,0.92961,0.92144,1.0489,0.84997,0.94362,0.90001,0.9678,0.91178,0.88351,0.91613,1.2273,1.0117,1.2462,1.4214,1.1891,1.2265,1.3618,1.0363,1.1242,1.2794,1.0064,1.0612,1.2273,0.9686,1.1264,1.0651,0.99231,1.0403,1.0635,1.0316,1.0171,1.1558,1.1155,1.0612,0.97862,0.9686,1.271,1.1989,1.1276,1.3666,1.0455,1.0522,1.1434,0.97928,0.90525,1.1248,1.1364,0.97313,1.2432,1.0442,0.89025,1.2376,1.2725,1.1565,1.1894,1.2603,1.1915,1.1248,0.8799718409010912,0.97313,1.0407,0.8373105584861426,1.0385,1.13,0.7903888713246917,0.85928,1.0778,0.7362143856290951,0.99941
P49723,Ribonucleoside-diphosphate reductase small chain 2,RNR4,sp|P49723|RIR4_YEAST Ribonucleoside-diphosphate reductase small chain 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RNR4 PE=1 SV=1,1.1065,1.0408,1.1183,1.6578,1.2947,1.8059,2.2728,2.9808,2.16,1.7294,1.7941,2.2148,1.1065,1.1227,1.1183,1.8011,2.1815,1.8377,1.5343,1.6408,1.4933,1.4386,1.6441,1.298,1.1993,1.1227,1.0715,1.4046,1.3341,1.2849,1.6369,1.8522,1.4232,1.2194,1.4517,1.4358,1.1993,1.0408,1.0715,2.216,1.7812,2.1314,2.0807,1.6621,1.7921,1.8765,2.0533,1.8562,1.0982,1.0932,0.96184,0.88782,1.0718,0.82669,0.82823,0.71447,0.82122,0.63245,0.85536,0.79117,1.0982,0.9147457006952068,0.96184,1.1448,0.802181934862827,1.0403,1.2251,1.0641241194372912,1.2394,1.2983,1.1771214671641967,1.3163
P49687,Nucleoporin NUP145;Nucleoporin NUP145N;Nucleoporin NUP145C,NUP145,sp|P49687|NU145_YEAST Nucleoporin NUP145 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NUP145 PE=1 SV=1,1.0137,1.0246,1.0054,1.1281,0.92082,1.2321,1.0475,1.7197,0.79001999999999994,1.0693,1.3708,NaN,1.0137,1.0223,1.0054,1.1644,1.0335,0.82468,1.4322,NaN,0.89428,1.0117,0.94314,1.2123,0.95248,1.0223,1.0052,1.0118,0.99347,1.0151,0.83356,1.1458,0.97321,1.7009,1.3509,NaN,0.95248,1.0246,1.0052,1.4576,1.4631,0.86217,0.79083,NaN,0.89166,0.83375,0.78198,1.1408,0.99748,1.0743,0.93463,1.0167,1.0466,0.92705,0.95636,0.76807,1.3096,2.6228,0.86056,NaN,0.99748,0.9308386856557759,0.93463,1.2345,1.2466030068064524,1.0023,0.57818,NaN,1.0844,0.9321,1.00257662191833,1.0842
P49626,60S ribosomal protein L4-B,RPL4B,sp|P49626|RL4B_YEAST 60S ribosomal protein L4-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL4B PE=1 SV=2,0.92275,0.97125,0.90049,0.78522,0.84372,0.71438,0.76652,0.75709,0.6431,0.76529,0.82777,0.63861,0.92275,1.0242,0.90049,0.47023,0.45057,0.38822,0.29101,0.30052,0.21783,NaN,0.17958,NaN,0.97363,1.0242,0.98691,0.964,0.96177,0.90005,0.91406,1.028,1.0047,0.98599,1.027,0.97286,0.97363,0.97125,0.98691,0.47729,0.50394,0.48055,0.31744,0.34875,0.32224,NaN,0.24157,NaN,1.0496,1.0832,1.0726,1.1487,1.1445,1.2087,1.1504,1.3088,1.2574,1.286,1.3215,1.5136,1.0496,0.9231905465288036,1.0726,1.0297,1.134095445472691,1.1509,1.3735,1.1269129347066646,1.2702,NaN,1.121415675148307,NaN
P49573,Copper transport protein CTR1,CTR1,sp|P49573|CTR1_YEAST Copper transport protein CTR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CTR1 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P49435,Adenine phosphoribosyltransferase 1,APT1,sp|P49435|APT1_YEAST Adenine phosphoribosyltransferase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=APT1 PE=1 SV=3,1.042,1.015,0.91236,1.0194,0.87784,0.68681,0.80673,0.85045,0.66379,1.0793,0.63942,0.69183,1.042,0.95306,0.91236,0.60838,0.61284,0.57146,0.476,0.58305,0.56199,0.47163,0.49071,0.43881,0.9699,0.95306,0.84073,0.8995,0.90536,0.87042,0.88963,0.87392,0.92616,0.96202,0.84172,0.83256,0.9699,1.015,0.84073,0.65249,0.58091,0.61353,0.53435,0.61978,0.61088,0.48635,0.56406,0.57348,0.93974,0.94688,0.91262,0.99397,1.0699,1.1473,1.0663,0.96753,1.0827,1.0694,1.1868,1.2463,0.93974,1.0561000337952011,0.91262,1.0994,0.996710854181202,1.0463,1.1996,1.1084631158898188,1.0825,1.034,1.1966732483695326,1.2881
P49367,"Homoaconitase, mitochondrial",LYS4,"sp|P49367|LYS4_YEAST Homoaconitase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=LYS4 PE=1 SV=1",1.1924,0.98376,1.0935,1.2694,0.9833,0.89149,1.0254,0.93701,0.80741,1.0131,0.84281,1.0938,1.1924,0.87831,1.0935,0.95963,1.1113,1.0603,1.0053,1.0654,1.0073,1.0955,1.1637,1.1273,0.86178,0.87831,0.89954,1.0068,1.1789,0.96163,0.97626,1.028,0.70074,1.0098,1.0657,0.9054,0.86178,0.98376,0.89954,0.9495,0.83327,0.83653,0.83321,0.70677,0.76797,0.86957,0.75815,0.8208,0.86601,0.94287,0.78532,0.84425,1.215,0.99258,0.90939,1.1866,0.72864,0.82908,1.0287,0.79106,0.86601,1.0605915979933607,0.78532,0.99243,0.7231703789412786,0.79505,0.90611,0.6648052120728627,0.68963,0.74643,0.6465377901338334,0.73285
P49334,Mitochondrial import receptor subunit TOM22,TOM22,sp|P49334|TOM22_YEAST Mitochondrial import receptor subunit TOM22 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TOM22 PE=1 SV=3,1.1017,1.0342,0.86129,1.1956,1.4752,1.1303,1.1449,1.2427,1.2292,1.3298,1.2271,0.7091,1.1017,0.74232,0.86129,0.94942,0.94438,0.86574,0.9127,0.82627,0.88297,0.80469,0.66569,0.69038,0.86965,0.74232,0.75423,1.1032,0.93612,1.0013,1.1376,1.0269,0.86383,1.1428,0.99995,0.8037,0.86965,1.0342,0.75423,0.84602,1.0425,0.83926,0.82876,0.97911,0.67894,0.69921,0.82287,0.61857,0.87547,0.71912,0.87141,0.80296,0.82323,0.91769,0.90954,0.74829,0.71368,0.80366,0.72916,0.97781,0.87547,1.3905884970519524,0.87141,0.87539,1.0543073727714578,0.86092,0.90189,0.9784735812133072,0.8501,0.86697,1.0195446713497751,0.86341
P49167,60S ribosomal protein L38,RPL38,sp|P49167|RL38_YEAST 60S ribosomal protein L38 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL38 PE=1 SV=1,1.067,1.0175,0.93588,0.9988,0.88649,1.0705,0.88103,0.8228,1.035,0.85112,0.81093,0.73766,1.067,0.96085,0.93588,0.53414,0.48951,0.44729,0.25429,0.27028,0.30113,0.20465,0.16809,0.1671,1.001,0.96085,0.94577,0.96597,0.95012,0.8481,0.93194,0.96184,0.9385,0.89891,0.9563,0.93772,1.001,1.0175,0.94577,0.4977,0.57533,0.50658,0.3033,0.34156,0.32954,0.22314,0.2581,0.23414,0.9617,0.97477,0.99054,1.0584,1.1176,0.86662,0.99767,1.1977,0.90104,1.0709,1.2806,1.2203,0.9617,1.0258830288170542,0.99054,0.97489,1.2030075187969924,1.0764,1.2012,1.2278827617539079,1.0337,1.124,1.4082325273549168,1.2536
P49095,"Glycine dehydrogenase (decarboxylating), mitochondrial",GCV2,"sp|P49095|GCSP_YEAST Glycine dehydrogenase (decarboxylating), mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GCV2 PE=1 SV=1",0.83331,0.81192,0.84649,1.5216,1.2644,1.4182,4.5073,1.5841,2.9652,1.9693,2.2216,3.9285,0.83331,0.79219,0.84649,2.8942,3.6758,3.0397,2.4491,2.5842,2.5015,2.3489,2.3781,2.4932,0.76736,0.79219,0.74868,1.0382,1.2358,1.0673,2.4106,1.0239,1.4114,1.0535,1.6677,1.5724,0.76736,0.81192,0.74868,2.5718,2.3372,2.3437,1.7523,1.4223,1.8148,1.4863,1.2669,1.6684,0.96321,0.93438,0.93451,0.70153,1.0327,0.65769,0.56082,0.90585,0.48702,0.57757,0.80141,0.40156,0.96321,1.0702283867377298,0.93451,0.82275,0.6568144499178982,0.78186,0.72176,0.5969792848188168,0.66705,0.67217,0.5005506056662329,0.62628
P49090,Asparagine synthetase [glutamine-hydrolyzing] 2,ASN2,sp|P49090|ASNS2_YEAST Asparagine synthetase [glutamine-hydrolyzing] 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ASN2 PE=1 SV=2,1.0779,0.99529,1.0407,1.014,0.96716,0.96985,1.0766,0.85967,0.94939,0.92582,0.92015,0.91604,1.0779,1.0657,1.0407,0.90269,0.86632,0.82333,0.66847,0.83459,0.78913,0.61458,0.65278,0.63036,1.032,1.0657,1.0047,1.0455,1.0634,0.97496,0.96292,1.0581,0.94267,0.9424,1.0112,0.97367,1.032,0.99529,1.0047,0.81062,0.72221,0.72028,0.64052,0.66588,0.63341,0.50847,0.48672,0.5268,0.96584,1.053,0.98414,1.0096,1.1463,0.96212,1.0208,1.248,1.0744,0.98223,1.2141,1.0924,0.96584,0.9496676163342831,0.98414,0.85533,0.8703977717817042,0.85285,0.90552,0.7894529091339701,0.79864,0.86918,0.775975789555366,0.82571
P49089,Asparagine synthetase [glutamine-hydrolyzing] 1,ASN1,sp|P49089|ASNS1_YEAST Asparagine synthetase [glutamine-hydrolyzing] 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ASN1 PE=1 SV=2,1.1103,1.0081,1.0104,1.0805,1.0007,0.96972,1.289,0.77754,0.82699,1.3499,0.79268,1.1172,1.1103,1.014,1.0104,1.2276,1.1385,1.0667,1.0209,1.1476,1.0566,0.89759,0.93427,0.79701,0.91878,1.014,0.89648,1.0635,1.1145,0.92104,1.0541,1.092,0.87227,1.0693,1.158,0.89746,0.91878,1.0081,0.89648,0.84112,0.73899,0.6456,0.66525,0.63269,0.60689,0.54937,0.56321,0.59517,0.86012,1.0377,0.87161,0.93729,1.1765,0.89809,0.7824,1.3647,0.99408,0.71458,1.3957,0.80929,0.86012,0.9636696540425941,0.87161,0.65178,0.605840300496789,0.61076,0.63307,0.5280946345585129,0.56715,0.64988,0.5859260561317161,0.65704
P49017,"2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial",COQ5,"sp|P49017|COQ5_YEAST 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=COQ5 PE=1 SV=1",0.91446,0.79714,0.7497,0.97091,0.97101,0.72577,NaN,NaN,NaN,NaN,0.70002,NaN,0.91446,0.91703,0.7497,0.80436,0.87731,1.0736,NaN,NaN,0.70324,NaN,NaN,0.58279,0.98657,0.91703,0.94362,0.77213,0.68496,0.80659,NaN,NaN,NaN,NaN,0.62497,NaN,0.98657,0.79714,0.94362,0.72402,0.78182,1.2949,NaN,NaN,1.0201,NaN,NaN,0.8234,0.97047,1.0147,1.0327,0.87172,0.7647,1.0136,NaN,NaN,NaN,NaN,0.82722,NaN,0.97047,0.9855129594954174,1.0327,1.0794,1.0468134997068923,1.4601,NaN,NaN,1.4402,NaN,NaN,1.6161
P48837,Nucleoporin NUP57,NUP57,sp|P48837|NUP57_YEAST Nucleoporin NUP57 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NUP57 PE=1 SV=1,1.1547,1.0881,1.2959,1.29,1.2559,1.3857,1.752,1.8517,1.8015,1.7276,1.6792,1.8779,1.1547,0.9994,1.2959,1.1476,1.0143,0.93914,0.98091,1.0444,0.99966,0.71796,0.98581,1.1275,0.96327,0.9994,0.89896,1.0805,1.0885,1.2578,1.1648,1.4807,1.3032,1.2394,1.5716,1.37,0.96327,1.0881,0.89896,1.0367,1.0278,0.92961,1.0162,1.2584,0.87581,0.94104,1.0429,0.90595,0.84554,0.90614,0.78064,0.95908,0.93094,0.79036,0.70667,1.1853,0.78139,0.7057,0.96723,0.76417,0.84554,1.1035822279118017,0.78064,0.86115,0.9652509652509652,0.82884,1.0764,1.0658367351289129,0.94208,1.1993,1.024432720381089,0.8036
P48836,V-type proton ATPase subunit G,VMA10,sp|P48836|VATG_YEAST V-type proton ATPase subunit G OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VMA10 PE=1 SV=1,0.85457,0.86491,0.85177,1.1105,1.0559,1.1608,1.2986,1.4571,1.3586,1.3643,1.2636,1.1913,0.85457,1.033,0.85177,0.81788,0.96816,0.87551,0.82169,0.89508,0.85636,0.77792,0.90162,0.85635,0.99762,1.033,0.96286,1.1041,1.0726,1.0767,1.1219,1.1168,1.0091,1.0873,1.1416,0.97423,0.99762,0.86491,0.96286,0.88072,0.86038,0.93113,0.74544,0.76866,0.8254,0.82469,0.75894,0.80297,1.037,1.1195,0.94646,0.94551,0.99331,0.90731,0.86333,0.82244,0.81204,0.85366,0.86708,0.89053,1.037,0.8932559178204557,0.94646,0.94393,0.9379103357719002,1.0002,1.0132,0.8726003490401397,1.0015,1.0508,0.8443093549476529,0.93628
P48813,High-affinity glutamine permease,GNP1,sp|P48813|GNP1_YEAST High-affinity glutamine permease OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GNP1 PE=1 SV=2,0.74971,0.86075,0.76788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.74971,1.0309,0.76788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1609,1.0309,1.0273,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1609,0.86075,1.0273,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3668,1.0086,1.3091,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3668,0.99147332936744,1.3091,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P48743,RFX-like DNA-binding protein RFX1,RFX1,sp|P48743|RFX1_YEAST RFX-like DNA-binding protein RFX1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RFX1 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P48606,Tubulin-specific chaperone A,RBL2,sp|P48606|TBCA_YEAST Tubulin-specific chaperone A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RBL2 PE=1 SV=1,1.1467,1.024,0.96852,1.2251,0.92339,0.93141,1.1695,1.1117,1.0474,1.2755,1.0462,1.077,1.1467,1.127,0.96852,0.94905,0.89051,0.8858,0.88287,0.83902,0.88497,0.75478,0.81318,0.80148,0.85828,1.127,0.67196,0.81828,0.88798,0.7751,0.91031,0.96004,0.80382,0.84471,0.93335,0.82174,0.85828,1.024,0.67196,0.8736,0.87056,0.77576,0.76631,0.78367,0.75319,0.88447,0.74843,0.69974,0.77524,1.1132,0.74889,0.69459,0.99489,0.87248,0.74128,0.74322,0.99349,0.63411,0.79574,0.85201,0.77524,0.8983111749910169,0.74889,0.90605,0.938790837401427,0.86982,0.90866,0.8884150675195451,0.80897,1.1016,0.8851124092759781,0.91159
P48589,40S ribosomal protein S12,RPS12,sp|P48589|RS12_YEAST 40S ribosomal protein S12 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS12 PE=1 SV=1,1.0557,0.99818,0.98871,1.009,1.0225,0.98587,1.1166,1.1118,1.0576,1.1742,1.1005,1.1276,1.0557,0.93587,0.98871,0.53455,0.40525,0.4361,0.33541,0.38357,0.36702,0.26521,0.29089,0.29828,1.029,0.93587,0.93906,1.0186,1.0411,0.93747,1.0714,1.053,1.0207,1.0498,1.0848,1.0293,1.029,0.99818,0.93906,0.57453,0.58417,0.49531,0.40977,0.38583,0.4477,0.31831,0.31627,0.35309,0.9349,0.93002,0.98006,1,1.0188,0.96214,0.99576,0.97423,0.95051,0.90451,1.0321,0.83441,0.9349,1.075245693640997,0.98006,1.0218,1.1095700416088765,1.1002,1.132,1.0431444546440791,1.1604,1.135,1.0437759639271027,1.0558
P48582,Vacuolar-sorting protein BRO1,BRO1,sp|P48582|BRO1_YEAST Vacuolar-sorting protein BRO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=BRO1 PE=1 SV=2,1.4174,1.0671,NaN,1.1139,1.331,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4174,0.89491,NaN,NaN,1.2391,1.3531,1.1088,NaN,NaN,1.0308,NaN,NaN,1.2617,0.89491,NaN,1.2492,1.0792,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2617,1.0671,NaN,NaN,1.5016,1.4216,1.0312,NaN,NaN,0.86045,NaN,NaN,0.98035,0.85946,NaN,1.1038,0.79452,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.98035,1.163521280804226,NaN,NaN,1.228788046349885,0.92212,1.0327,NaN,NaN,0.91564,NaN,NaN
P48570,"Homocitrate synthase, cytosolic isozyme",LYS20,"sp|P48570|HOSC_YEAST Homocitrate synthase, cytosolic isozyme OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=LYS20 PE=1 SV=1",1.35,0.98702,0.9274,NaN,NaN,0.83434,NaN,NaN,NaN,0.58837,NaN,NaN,1.35,0.76098,0.9274,1.332,1.4451,1.3811,1.0186,1.164,1.0184,1.1361,1.3371,1.1611,0.91662,0.76098,0.88409,NaN,NaN,0.74347,NaN,NaN,NaN,0.51158,NaN,NaN,0.91662,0.98702,0.88409,1.2683,0.88214,1.2542,0.93,0.76911,0.73789,1.0583,0.81913,0.79092,0.72144,0.80634,0.84121,NaN,NaN,0.98062,NaN,NaN,NaN,0.74337,NaN,NaN,0.72144,1.2401716397549423,0.84121,0.91109,0.7921419518377694,0.72509,0.89179,0.6343165239454488,0.67425,0.82561,0.6551791915088777,0.71014
P48567,tRNA pseudouridine synthase 4,PUS4,sp|P48567|PUS4_YEAST tRNA pseudouridine synthase 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PUS4 PE=1 SV=1,NaN,0.86099,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.3568,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.3568,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.86099,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P48566,GTPase-activating protein GYP3,MSB3,sp|P48566|GYP3_YEAST GTPase-activating protein GYP3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MSB3 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P48565,pH-response regulator protein palH/RIM21,RIM21,sp|P48565|PALH_YEAST pH-response regulator protein palH/RIM21 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RIM21 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P48563,Protein MON2,MON2,sp|P48563|MON2_YEAST Protein MON2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MON2 PE=1 SV=1,NaN,NaN,0.74498,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.74498,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.90949,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.90949,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1647,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1647,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P48562,Serine/threonine-protein kinase CLA4,CLA4,sp|P48562|CLA4_YEAST Serine/threonine-protein kinase CLA4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CLA4 PE=1 SV=1,1.0075,1.0432,0.99166,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0075,0.91531,0.99166,NaN,1.5719,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.99969,0.91531,0.87739,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.99969,1.0432,0.87739,NaN,1.0593,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.98623,0.99421,0.92172,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.98623,1.0058237193349493,0.92172,NaN,0.9263547938860585,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P48559,GTP-binding protein YPT11,YPT11,sp|P48559|YPT11_YEAST GTP-binding protein YPT11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YPT11 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
